0,5,1.8066794,['Target'],475266,,,MeanRT participant 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2.1644698,['Target'],475266,,,MeanRT participant 2,,,,5 distractors,10 distractors,total data set,,,,,,,,,,,,,,,,trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,participant,,2,10,1.4460495,['Target'],475266
76,5,1.8364608,['Target'],475266,,,,,,,,,,,69,10,1.2054721,['Target'],475266,,,,,,,,,,150,5,1.3166126,['Target'],475266,,146,10,1.7636993,['Target'],475266
77,10,1.2403866,['Target'],475266,,,,,,,,,,,70,10,2.1392508,['Target'],475266,,,,,,,,,,151,5,2.1515193,['Target'],475266,,152,10,2.4255002,['Target'],475266
78,10,1.6715741,['Target'],475266,,,,,,,,,,,71,10,1.4605878,['Target'],475266,,,,,,,,,,153,5,1.988111,['Target'],475266,,157,10,1.5078579,['Target'],475266
79,5,2.1817953,['Target'],475266,,,,,,,,,,,72,10,2.0073265,['Target'],475266,,,,,,,,,,154,5,2.0474761,['Target'],475266,,161,10,1.4219197,['Target'],475266
80,10,1.4271277,['Target'],475266,,,,,,,,,,,73,10,1.7881623,['Target'],475266,,,,,,,,,,155,5,2.5286212,['Target'],475266,,163,10,2.7572785,['Target'],475266
81,10,1.3766681,['Target'],475266,,,,,,,,,,,74,5,1.923282,['Target'],475266,,,,,,,,,,156,5,2.1839501,['Target'],475266,,166,10,2.0689208,['Target'],475266
82,5,1.9782833,['Target'],475266,,,,,,,,,,,75,10,2.0496691,['Target'],475266,,,,,,,,,,158,5,1.4411738,['Target'],475266,,168,10,2.8040883,['Target'],475266
83,5,2.2194583,['Target'],475266,,,,,,,,,,,76,5,1.8364608,['Target'],475266,,,,,,,,,,159,5,2.3640373,['Target'],475266,,169,10,1.802417,['Target'],475266
84,10,1.7702888,['Target'],475266,,,,,,,,,,,77,10,1.2403866,['Target'],475266,,,,,,,,,,160,5,2.5519841,['Target'],475266,,172,10,1.6093987,['Target'],475266
85,5,1.6875384,['Target'],475266,,,,,,,,,,,78,10,1.6715741,['Target'],475266,,,,,,,,,,162,5,1.9818504,['Target'],475266,,173,10,1.5992027,['Target'],475266
86,10,1.6880499,['Target'],475266,,,,,,,,,,,79,5,2.1817953,['Target'],475266,,,,,,,,,,164,5,1.1833748,['Target'],475266,,176,10,1.8740022,['Target'],475266
87,5,2.6332916,['Target'],475266,,,,,,,,,,,80,10,1.4271277,['Target'],475266,,,,,,,,,,165,5,2.1283754,['Target'],475266,,177,10,1.6898997,['Target'],475266
88,5,1.3682601,['Target'],475266,,,,,,,,,,,81,10,1.3766681,['Target'],475266,,,,,,,,,,167,5,1.4806823,['Target'],475266,,179,10,1.8395309,['Target'],475266
89,10,1.4326576,['Target'],475266,,,,,,,,,,,82,5,1.9782833,['Target'],475266,,,,,,,,,,170,5,1.2810048,['Target'],475266,,180,10,2.1274407,['Target'],475266
90,5,1.701173,['Target'],475266,,,,,,,,,,,83,5,2.2194583,['Target'],475266,,,,,,,,,,171,5,1.4151013,['Target'],475266,,182,10,1.5763399,['Target'],475266
91,5,1.8116021,['Target'],475266,,,,,,,,,,,84,10,1.7702888,['Target'],475266,,,,,,,,,,174,5,2.3168444,['Target'],475266,,183,10,1.2280902,['Target'],475266
92,5,1.4724896,['Target'],475266,,,,,,,,,,,85,5,1.6875384,['Target'],475266,,,,,,,,,,175,5,1.3483072,['Target'],475266,,184,10,3.226535,['Target'],475266
93,10,1.4517949,['Target'],475266,,,,,,,,,,,86,10,1.6880499,['Target'],475266,,,,,,,,,,178,5,1.5658273,['Target'],475266,,185,10,2.2109852,['Target'],475266
94,5,1.667313,['Target'],475266,,,,,,,,,,,87,5,2.6332916,['Target'],475266,,,,,,,,,,181,5,1.6983726,['Target'],475266,,186,10,2.0851514,['Target'],475266
95,10,1.5703312,['Target'],475266,,,,,,,,,,,88,5,1.3682601,['Target'],475266,,,,,,,,,,188,5,1.9811579,['Target'],475266,,187,10,1.6850971,['Target'],475266
96,5,1.3419365,['Target'],475266,,,,,,,,,,,89,10,1.4326576,['Target'],475266,,,,,,,,,,192,5,1.7376126,['Target'],475266,,189,10,2.661263,['Target'],475266
97,5,2.2808901,['Target'],475266,,,,,,,,,,,90,5,1.701173,['Target'],475266,,,,,,,,,,193,5,2.0184771,['Target'],475266,,190,10,1.9211696,['Target'],475266
98,5,1.6945162,['Target'],475266,,,,,,,,,,,91,5,1.8116021,['Target'],475266,,,,,,,,,,0,5,1.0575941,['Target'],682694,,191,10,2.7226272,['Target'],475266
99,5,1.3838565,['Target'],475266,,,,,,,,,,,92,5,1.4724896,['Target'],475266,,,,,,,,,,2,5,1.8823117,['Target'],682694,,194,10,1.8035596,['Target'],475266
100,5,1.3980833,['Target'],475266,,,,,,,,,,,93,10,1.4517949,['Target'],475266,,,,,,,,,,3,5,1.4313933,['Target'],682694,,195,10,1.578976,['Target'],475266
101,10,4.1647732,['Target'],475266,,,,,,,,,,,94,5,1.667313,['Target'],475266,,,,,,,,,,4,5,1.2983714,['Target'],682694,,196,10,1.4578645,['Target'],475266
102,10,1.8603829,['Target'],475266,,,,,,,,,,,95,10,1.5703312,['Target'],475266,,,,,,,,,,5,5,1.3140057,['Target'],682694,,197,10,1.372192,['Target'],475266
103,10,1.6744739,['Target'],475266,,,,,,,,,,,96,5,1.3419365,['Target'],475266,,,,,,,,,,6,5,1.3137849,['Target'],682694,,198,10,2.0722776,['Target'],475266
104,10,2.3268281,['Target'],475266,,,,,,,,,,,97,5,2.2808901,['Target'],475266,,,,,,,,,,10,5,1.2015934,['Target'],682694,,199,10,1.4435888,['Target'],475266
105,10,2.3897361,['Target'],475266,,,,,,,,,,,98,5,1.6945162,['Target'],475266,,,,,,,,,,11,5,1.7394895,['Target'],682694,,1,10,2.0428141,['Target'],682694
106,10,1.573868,['Target'],475266,,,,,,,,,,,99,5,1.3838565,['Target'],475266,,,,,,,,,,12,5,1.5074219,['Target'],682694,,7,10,1.5009049,['Target'],682694
107,5,1.6484354,['Target'],475266,,,,,,,,,,,100,5,1.3980833,['Target'],475266,,,,,,,,,,14,5,1.5179311,['Target'],682694,,8,10,2.5620338,['Target'],682694
108,10,1.8087694,['Target'],475266,,,,,,,,,,,101,10,4.1647732,['Target'],475266,,,,,,,,,,17,5,1.3317285,['Target'],682694,,9,10,1.9159761,['Target'],682694
109,5,1.2366401,['Target'],475266,,,,,,,,,,,102,10,1.8603829,['Target'],475266,,,,,,,,,,19,5,1.4671985,['Target'],682694,,13,10,2.8360102,['Target'],682694
110,10,2.5714048,['Target'],475266,,,,,,,,,,,103,10,1.6744739,['Target'],475266,,,,,,,,,,23,5,1.1933645,['Target'],682694,,15,10,4.1363487,['Target'],682694
111,10,2.9111072,['Target'],475266,,,,,,,,,,,104,10,2.3268281,['Target'],475266,,,,,,,,,,24,5,1.5836954,['Target'],682694,,16,10,1.7181216,['Target'],682694
112,5,2.0315325,['Target'],475266,,,,,,,,,,,105,10,2.3897361,['Target'],475266,,,,,,,,,,25,5,1.7339024,['Target'],682694,,18,10,1.7617855,['Target'],682694
113,5,1.4841894,['Target'],475266,,,,,,,,,,,106,10,1.573868,['Target'],475266,,,,,,,,,,26,5,1.2796945,['Target'],682694,,20,10,1.8543629,['Target'],682694
